Sample,X,Y,Z
0,0.020,0.016,-0.586
1,0.008,0.004,-0.961
2,0.008,0.004,-0.949
3,-0.004,0.008,-0.953
4,-0.008,0.020,-0.949
5,-0.008,0.023,-0.965
6,0.008,0.004,-0.965
7,0.004,0.020,-0.957
8,-0.008,0.016,-0.953
9,-0.016,0.016,-0.953
10,0.008,0.012,-0.961
11,0.016,-0.004,-0.957
12,0.012,0.004,-0.938
13,-0.004,0.020,-0.949
14,-0.016,0.023,-0.945
15,-0.008,0.020,-0.953
16,0.023,0.000,-0.961
17,0.012,0.008,-0.945
18,-0.004,0.008,-0.957
19,-0.020,0.020,-0.973
20,-0.016,0.027,-0.961
21,0.004,0.000,-0.969
22,0.023,-0.008,-0.949
23,0.020,0.008,-0.957
24,-0.027,0.012,-0.949
25,-0.020,0.016,-0.941
26,0.004,0.000,-0.953
27,0.027,0.000,-0.961
28,0.020,0.008,-0.961
29,0.012,0.004,-0.961
30,-0.023,0.016,-0.961
31,-0.012,0.008,-0.945
32,-0.004,0.000,-0.961
33,0.000,0.008,-0.965
34,0.004,0.027,-0.965
35,0.023,0.008,-0.969
36,0.004,0.000,-0.938
37,0.000,0.008,-0.953
38,-0.016,0.012,-0.945
39,0.000,0.012,-0.949
40,0.023,0.004,-0.969
41,0.020,0.008,-0.957
42,0.000,0.023,-0.961
43,-0.023,0.023,-0.965
44,0.004,0.020,-0.949
45,0.020,0.012,-0.953
46,0.012,0.016,-0.973
47,0.000,0.012,-0.973
48,-0.012,0.023,-0.957
49,0.000,0.008,-0.938
50,-0.016,0.039,-0.953
51,-0.020,0.023,-0.953
52,0.016,0.023,-0.953
53,0.016,-0.035,-0.953
54,0.012,0.012,-0.973
55,0.016,0.012,-0.957
56,-0.016,0.016,-0.938
57,-0.020,0.020,-0.957
58,-0.008,0.027,-0.965
59,0.016,0.004,-0.953
60,0.031,-0.004,-0.965
61,0.016,0.012,-0.957
62,-0.012,0.012,-0.938
63,-0.023,0.016,-0.938
64,-0.004,0.004,-0.957
65,0.023,-0.004,-0.969
66,0.016,0.004,-0.957
67,-0.023,0.020,-0.965
68,-0.012,0.012,-0.961
69,-0.004,0.012,-0.941
70,0.008,0.027,-0.961
71,0.004,0.004,-0.969
72,0.016,0.035,-0.934
73,0.016,-0.012,-0.965
74,-0.012,0.031,-0.961
75,-0.027,-0.008,-0.938
76,0.008,0.012,-0.957
77,0.012,0.027,-0.949
78,0.000,0.020,-0.973
79,0.000,0.016,-0.961
80,0.000,0.023,-0.957
81,0.004,0.008,-0.961
82,0.004,0.012,-0.949
83,-0.004,0.016,-0.957
84,-0.008,-0.004,-0.945
85,-0.008,0.016,-0.945
86,-0.004,0.035,-0.977
87,0.082,0.051,-1.070
88,0.094,-0.039,-1.090
89,-0.391,-0.059,-0.953
90,-1.273,0.121,-0.824
91,-1.805,0.258,-0.863
92,-1.805,0.258,-0.863
93,-1.613,0.195,-0.930
94,-0.934,0.012,-0.910
95,-0.781,-0.031,-0.844
96,-0.965,0.078,-0.672
97,-1.324,0.020,-0.551
98,-1.395,-0.027,-0.738
99,-1.066,-0.113,-1.164
100,-0.559,-0.125,-1.355
101,-0.504,-0.211,-1.301
102,-0.719,-0.168,-1.129
103,-1.055,-0.027,-0.660
104,-0.945,0.180,-0.742
105,-0.270,0.230,-1.215
106,0.617,0.035,-1.426
107,0.617,0.035,-1.426
108,0.828,-0.211,-1.316
109,0.098,-0.156,-0.945
110,-0.723,0.133,-0.789
111,-0.891,0.242,-0.898
112,-0.633,0.012,-0.965
113,-0.270,-0.074,-1.129
114,0.012,0.020,-1.289
115,-0.105,-0.105,-0.891
116,-0.566,-0.145,-0.449
117,-0.832,0.188,-0.473
118,-0.867,0.195,-0.570
119,-0.945,0.145,-0.652
120,-0.656,0.254,-1.047
121,-0.422,0.105,-1.176
122,-0.914,-0.062,-0.680
123,-1.148,0.203,-0.871
124,-0.965,0.031,-1.047
125,-1.324,-0.105,-0.684
126,-0.957,-0.027,-1.449
127,-0.477,-0.121,-1.586
128,-0.562,-0.191,-1.008
129,-0.527,-0.398,-1.215
130,-0.805,0.117,-0.711
131,-0.855,0.203,-0.711
132,-0.379,-0.074,-1.137
133,-0.020,-0.039,-1.090
134,0.098,-0.184,-1.258
135,-0.172,-0.051,-1.047
136,-0.465,0.004,-0.891
137,-0.578,-0.016,-0.816
138,-0.742,0.164,-0.730
139,-0.586,0.086,-1.102
140,-0.266,-0.051,-1.062
141,-0.254,0.016,-0.844
142,-0.516,0.043,-0.879
143,-0.828,0.355,-0.699
144,-1.023,0.211,-0.664
145,-0.680,0.191,-0.820
146,-0.680,0.191,-0.820
147,-0.449,0.156,-0.914
148,-0.469,-0.113,-0.852
149,-0.812,0.066,-0.836
150,-0.926,0.234,-1.055
151,-1.062,-0.094,-0.895
152,-1.020,-0.016,-0.906
153,-0.727,-0.074,-1.340
154,-0.621,-0.203,-1.039
155,-0.465,-0.164,-0.992
156,-0.266,-0.152,-1.145
157,-0.562,0.031,-0.824
158,-0.734,0.070,-0.906
159,-0.551,0.004,-1.062
160,-0.516,0.055,-1.023
161,-0.309,-0.094,-1.281
162,-0.391,-0.059,-1.082
163,-0.641,0.148,-1.027
164,-0.672,-0.016,-1.180
165,-0.441,0.047,-0.812
166,-0.375,-0.004,-0.871
167,-0.492,-0.023,-0.961
168,-0.613,0.195,-0.691
169,-0.609,0.059,-0.855
170,-0.594,0.117,-0.777
171,-0.820,0.203,-0.715
172,-0.617,0.117,-0.840
173,-0.391,0.109,-0.852
174,-0.086,-0.215,-0.996
175,-0.297,-0.039,-0.844
176,-0.652,0.184,-0.957
177,-1.102,-0.090,-0.887
178,-1.121,0.160,-0.820
179,-0.484,-0.094,-1.309
180,-0.117,-0.012,-1.023
181,-0.180,-0.145,-1.031
182,-0.488,-0.012,-1.141
183,-0.832,0.215,-0.789
184,-0.914,-0.016,-1.098
185,-0.766,-0.152,-1.004
186,-0.535,0.074,-1.145
187,-0.344,-0.121,-1.336
188,-0.594,-0.066,-0.738
189,-0.551,0.082,-0.965
190,-0.301,0.027,-0.973
191,-0.559,0.035,-0.656
192,-0.703,0.102,-1.164
193,-0.562,0.098,-1.012
194,-0.371,-0.035,-0.707
195,-0.441,-0.020,-1.059
196,-0.555,0.277,-0.879
197,-0.789,0.145,-0.520
198,-0.766,0.078,-0.727
199,-0.297,-0.156,-0.977
200,-0.086,-0.125,-0.770
201,-0.230,-0.086,-1.070
202,-0.758,0.262,-1.129
203,-1.020,0.035,-0.965
204,-0.918,-0.066,-0.840
205,-1.059,-0.035,-0.883
206,-0.285,-0.082,-1.199
207,0.035,0.105,-1.035
208,-0.539,0.012,-1.109
209,-0.488,-0.191,-1.062
210,-0.867,-0.039,-0.613
211,-0.875,-0.035,-1.047
212,-0.539,0.109,-1.449
213,-0.316,-0.023,-1.016
214,-0.531,-0.398,-1.027
215,-0.754,0.070,-0.973
216,-0.660,0.238,-0.906
217,-0.629,-0.031,-0.922
218,-0.652,-0.051,-0.859
219,-0.316,-0.031,-0.930
220,-0.090,0.113,-0.879
221,-0.848,-0.090,-0.941
222,-0.723,0.184,-0.938
223,-0.379,0.219,-0.727
224,-0.270,-0.180,-0.871
225,-0.559,0.004,-0.891
226,-0.555,0.172,-0.887
227,-0.754,-0.051,-0.789
228,-0.953,-0.023,-0.816
229,-0.480,0.051,-1.082
230,-0.223,-0.102,-0.945
231,-0.441,-0.016,-0.922
232,-0.500,0.016,-1.273
233,-0.527,0.148,-0.684
234,-1.043,0.078,-0.746
235,-0.984,-0.137,-1.426
236,-0.137,0.043,-1.098
237,-0.191,0.023,-1.199
238,-0.625,0.148,-1.223
239,-0.902,-0.020,-0.793
240,-0.879,-0.223,-0.805
241,-0.465,0.098,-0.938
242,-0.465,0.098,-0.938
243,-0.184,0.043,-1.066
244,-0.684,0.270,-1.172
245,-0.977,0.066,-1.121
246,-1.125,-0.039,-0.617
247,-0.910,0.172,-0.602
248,-0.434,0.016,-1.102
249,-0.234,-0.004,-0.941
250,-0.480,0.086,-0.719
251,-0.812,0.250,-1.070
252,-0.645,-0.281,-0.672
253,-0.715,0.090,-0.820
254,-0.793,-0.004,-1.172
255,-0.125,0.234,-0.758
256,-0.711,-0.090,-1.039
257,-0.848,0.180,-1.027
258,-0.473,-0.031,-0.812
259,0.211,-0.188,-0.738
260,-0.410,0.055,-1.340
261,-0.387,-0.031,-1.211
262,-0.449,0.211,-0.738
263,-1.137,-0.117,-1.250
264,-1.266,0.004,-1.043
265,-0.164,0.082,-0.824
266,0.258,-0.355,-1.176
267,-0.793,0.141,-1.094
268,-0.957,-0.059,-1.047
269,-0.070,-0.023,-0.367
270,-1.301,-0.066,-0.609
271,-0.754,0.152,-1.492
272,0.508,0.180,-0.766
273,-1.281,-0.129,-0.801
274,-1.531,0.105,-1.512
275,-0.309,0.039,-0.621
276,-0.180,0.070,-0.535
277,-0.930,0.117,-1.438
278,-0.160,-0.227,-0.863
279,0.387,-0.426,-0.230
280,-1.848,0.395,-1.066
281,-1.027,0.223,-1.578
282,0.820,-0.215,-0.578
283,-1.770,-0.121,-0.832
284,-0.801,-0.074,-1.535
285,0.859,-0.098,-0.391
286,-1.410,0.129,-0.836
287,-0.562,0.383,-1.770
288,0.891,0.059,-0.555
289,-1.340,-0.090,-0.602
290,-0.621,-0.039,-1.746
291,0.371,-0.297,-0.656
292,-1.375,0.270,-0.895
293,-0.398,0.180,-1.844
294,0.457,-0.035,-0.414
295,-1.598,0.352,-0.590
296,-0.695,-0.137,-1.645
297,0.227,0.066,-0.180
298,-1.297,0.141,-0.941
299,0.148,-0.141,-1.594
300,0.340,0.047,-0.230
301,-1.191,0.191,-1.027
302,-0.664,0.055,-1.215
303,-1.273,-0.121,-0.035
304,-1.234,0.094,-1.199
305,0.266,-0.066,-1.477
306,-0.707,0.039,-0.844
307,-0.988,-0.094,-1.273
308,-1.137,0.312,-0.289
309,-1.355,0.184,-0.762
310,-0.258,-0.555,-1.293
311,-0.203,0.414,-0.410
312,-0.051,-0.184,-1.715
313,-0.438,-0.254,-0.629
314,0.523,0.637,-0.539
315,0.742,-0.820,-1.797
316,0.473,0.496,-0.062
317,1.238,-0.117,-1.234
318,1.070,-0.285,-1.574
319,0.215,0.609,-0.254
320,1.125,-0.750,-1.781
321,0.484,-0.082,-0.344
322,0.301,0.293,-0.379
323,1.527,-0.422,-1.711
324,-0.531,0.734,0.078
325,0.230,-0.117,-1.512
326,0.273,-0.773,-1.254
327,-1.164,0.922,-0.180
328,-0.363,-0.602,-1.980
329,-0.488,-0.051,-0.309
330,-1.699,0.777,-0.328
331,-0.344,-0.555,-1.891
332,-0.371,0.359,0.469
333,-0.363,0.004,-0.738
334,0.664,-0.441,-1.535
335,-0.895,0.672,0.828
336,-0.086,-0.113,-1.312
337,0.254,0.121,-0.977
338,-0.445,0.789,0.137
339,1.129,-1.070,-1.867
340,-0.113,0.535,0.074
341,-0.359,0.367,-0.996
342,0.930,-0.801,-1.273
343,-0.406,1.043,0.598
344,1.203,-0.602,-1.895
345,0.156,-0.223,-0.383
346,-0.188,0.637,-0.359
347,0.758,-1.023,-1.867
348,-0.469,0.715,0.609
349,-0.184,-0.039,-1.430
350,0.746,-0.562,-1.270
351,-0.770,0.852,0.223
352,0.324,-0.789,-1.965
353,-0.402,0.242,-0.367
354,-1.027,0.496,-0.277
355,0.473,-0.688,-1.859
356,-0.371,0.086,0.410
357,0.051,-0.164,-1.043
358,0.727,-0.395,-1.258
359,-1.074,0.469,0.594
360,-0.086,-0.160,-1.613
361,0.246,-0.070,-0.637
362,-0.395,0.480,-0.145
363,1.223,-0.578,-1.969
364,-0.234,0.266,0.492
365,0.219,0.352,-0.965
366,0.574,-0.648,-1.355
367,-1.273,1.059,0.777
368,1.129,-0.480,-1.793
369,0.105,-0.066,-0.559
370,-0.406,0.723,-0.488
371,0.812,-0.703,-1.906
372,-0.316,0.504,0.492
373,-0.344,-0.340,-1.012
374,0.609,-0.230,-1.336
375,-0.848,0.906,0.160
376,0.668,-0.629,-1.922
377,-0.082,0.371,-0.531
378,-0.438,0.168,-0.766
379,0.770,-0.570,-1.676
380,-0.883,0.398,0.434
381,-0.457,-0.078,-1.301
382,0.512,-0.074,-1.133
383,-0.723,0.902,-0.062
384,0.781,-0.977,-1.949
385,-0.270,0.027,0.020
386,-0.500,0.434,-0.414
387,0.281,-0.418,-1.660
388,-0.488,0.828,0.340
389,0.152,-0.320,-1.422
390,0.711,-0.309,-0.863
391,-0.715,0.781,0.082
392,1.105,-0.668,-1.918
393,-0.098,0.164,0.176
394,-0.793,0.762,-0.578
395,-0.793,0.762,-0.578
396,0.629,-0.535,-1.809
