Sample,X,Y,Z
0,0.039,0.000,-0.613
1,-0.020,0.023,-0.926
2,-0.031,0.008,-0.992
3,-0.020,0.027,-0.930
4,0.047,0.004,-0.965
5,0.059,-0.023,-0.988
6,-0.012,0.020,-0.922
7,-0.035,0.031,-0.969
8,-0.012,0.020,-0.961
9,0.012,0.000,-0.926
10,0.051,0.000,-0.980
11,0.012,0.020,-0.961
12,-0.031,0.031,-0.922
13,-0.047,0.008,-0.969
14,0.035,0.020,-0.961
15,0.039,-0.031,-0.949
16,0.000,0.031,-0.969
17,0.020,0.020,-0.980
18,-0.004,0.000,-0.898
19,-0.008,0.008,-0.957
20,-0.012,0.000,-0.969
21,-0.023,0.043,-0.906
22,0.012,0.016,-1.004
23,0.039,-0.008,-0.973
24,0.004,0.012,-0.910
25,0.012,0.027,-0.977
26,-0.039,0.035,-0.945
27,0.004,0.008,-0.953
28,0.035,-0.027,-0.984
29,0.016,0.020,-0.945
30,0.016,0.012,-0.965
31,-0.016,0.035,-0.957
32,-0.023,0.035,-0.957
33,0.023,-0.039,-0.953
34,0.020,0.012,-0.930
35,0.039,0.031,-1.004
36,0.000,-0.008,-0.953
37,-0.059,0.023,-0.914
38,-0.004,0.035,-1.000
39,0.016,-0.016,-0.930
40,0.016,0.016,-0.918
41,0.023,0.023,-1.008
42,-0.051,0.012,-0.914
43,-0.023,0.016,-0.914
44,-0.023,0.016,-0.914
45,0.051,-0.008,-1.016
46,0.020,0.008,-0.914
47,0.008,0.031,-0.973
48,-0.023,0.004,-0.996
49,-0.047,0.047,-0.871
50,0.047,0.012,-0.984
51,0.023,-0.020,-0.980
52,-0.008,0.027,-0.902
53,-0.020,-0.008,-0.984
54,-0.043,0.047,-0.941
55,-0.016,0.023,-0.930
56,0.055,0.016,-1.016
57,0.020,0.000,-0.945
58,0.016,-0.008,-0.918
59,0.012,0.012,-0.984
60,-0.012,0.035,-0.934
61,0.008,-0.012,-0.949
62,-0.012,-0.004,-0.953
63,-0.020,0.039,-0.965
64,0.039,0.012,-1.000
65,0.035,-0.008,-0.949
66,0.004,-0.004,-0.918
67,-0.016,0.027,-0.938
68,-0.043,0.016,-0.953
69,0.012,-0.004,-0.965
70,0.066,-0.016,-0.988
71,0.016,0.008,-0.957
72,-0.074,0.047,-0.938
73,-0.051,0.055,-0.957
74,0.020,0.023,-0.934
75,0.078,0.008,-0.949
76,0.078,0.023,-1.008
77,0.004,0.008,-0.922
78,-0.059,0.047,-0.926
