Sample,X,Y,Z
0,0.059,-0.008,-0.570
1,0.055,0.020,-0.949
2,0.055,0.020,-0.949
3,-0.012,0.027,-0.957
4,0.012,0.039,-0.941
5,0.082,0.012,-0.965
6,0.066,-0.004,-0.953
7,0.066,0.004,-0.949
8,0.016,0.027,-0.938
9,0.027,0.027,-0.953
10,0.031,0.004,-0.953
11,0.039,-0.012,-0.949
12,0.016,0.008,-0.949
13,0.066,0.027,-0.945
14,0.062,0.012,-0.938
15,0.070,0.012,-0.965
16,0.004,-0.004,-0.945
17,-0.008,0.031,-0.953
18,0.047,0.035,-0.945
19,0.055,0.020,-0.938
20,0.094,-0.023,-0.957
21,0.090,0.012,-0.961
22,0.000,0.016,-0.953
23,-0.012,0.035,-0.938
24,0.047,0.023,-0.949
25,0.066,0.016,-0.961
26,0.102,-0.035,-0.957
27,0.031,0.039,-0.953
28,0.012,0.012,-0.961
29,0.004,-0.016,-0.945
30,0.023,0.012,-0.965
31,0.070,0.012,-0.949
32,0.074,0.020,-0.941
33,0.047,0.012,-0.953
34,0.051,0.012,-0.941
35,0.016,0.000,-0.961
36,-0.008,0.039,-0.953
37,0.051,0.020,-0.945
38,0.062,0.020,-0.945
39,0.070,-0.012,-0.945
40,0.078,0.012,-0.957
41,0.004,0.020,-0.961
42,0.004,0.031,-0.941
43,0.043,0.012,-0.945
44,0.074,0.000,-0.961
45,0.078,0.004,-0.949
46,0.043,0.023,-0.938
47,0.031,0.031,-0.957
48,0.016,0.031,-0.957
49,0.004,-0.020,-0.953
50,0.047,0.020,-0.953
51,0.078,0.023,-0.953
52,0.062,-0.004,-0.969
53,0.055,-0.008,-0.953
54,0.004,0.008,-0.945
55,-0.008,0.023,-0.953
56,0.051,0.027,-0.949
57,0.078,-0.004,-0.949
58,0.098,-0.012,-0.953
59,0.062,0.012,-0.961
60,-0.016,0.023,-0.953
61,-0.004,0.039,-0.934
62,0.039,0.008,-0.945
63,0.078,-0.008,-0.965
64,0.090,0.000,-0.961
65,0.031,0.016,-0.934
66,0.008,0.023,-0.953
67,0.023,0.039,-0.953
68,0.027,-0.008,-0.961
69,0.074,0.016,-0.965
70,0.082,0.020,-0.957
71,0.043,0.023,-0.926
72,0.023,0.023,-0.949
73,-0.012,0.020,-0.957
74,-0.012,0.020,-0.957
75,0.035,-0.020,-0.973
76,0.059,0.051,-0.949
77,0.051,0.012,-0.949
78,0.051,0.000,-0.926
79,0.066,0.012,-0.949
80,0.027,0.023,-0.953
81,0.004,0.035,-0.945
82,0.055,0.004,-0.945
83,0.051,-0.004,-0.941
84,0.055,0.016,-0.957
85,0.035,0.031,-0.953
86,0.039,0.016,-0.957
87,0.043,0.023,-0.969
88,0.008,-0.008,-0.953
89,0.031,0.035,-0.965
90,0.203,0.039,-1.035
91,0.094,-0.105,-1.020
92,-0.562,-0.023,-0.875
93,-1.477,0.121,-0.836
94,-1.844,0.215,-0.750
95,-1.273,0.164,-1.000
96,-0.738,-0.023,-1.109
97,-0.496,0.027,-0.945
98,-0.969,0.047,-0.844
99,-1.668,0.121,-0.531
100,-1.875,0.008,-0.652
101,-1.352,-0.109,-1.027
102,-0.629,-0.199,-1.297
103,-0.094,-0.242,-1.434
104,0.082,-0.051,-1.215
105,-0.152,0.039,-0.918
106,-0.668,0.074,-0.551
107,-0.668,0.074,-0.551
108,-0.867,0.055,-0.590
109,-0.242,0.090,-1.012
110,0.605,-0.031,-1.480
111,1.043,-0.129,-1.559
112,0.402,-0.047,-1.188
113,-0.812,0.254,-0.672
114,-1.289,0.301,-0.531
115,-0.789,0.086,-0.750
116,-0.125,-0.227,-1.094
117,0.344,-0.281,-1.273
118,0.152,-0.070,-1.039
119,-1.340,0.164,-0.535
120,-1.918,0.488,-0.434
121,-1.117,0.160,-0.547
122,-1.117,0.160,-0.547
123,-0.816,-0.109,-0.605
124,-0.262,0.016,-1.305
125,-0.082,-0.125,-1.160
126,-0.977,0.078,-0.824
127,-1.715,0.340,-1.117
128,-1.176,0.047,-1.008
129,-0.609,-0.262,-1.031
130,-0.332,-0.266,-1.355
