Sample,X,Y,Z
0,0.109,0.031,-0.570
1,0.078,0.012,-0.957
2,0.059,0.016,-0.965
3,0.008,0.016,-0.969
4,0.004,0.012,-0.945
5,0.027,0.008,-0.941
6,0.078,0.016,-0.941
7,0.062,0.000,-0.941
8,0.062,0.020,-0.973
9,0.000,0.012,-0.957
10,0.004,0.027,-0.945
11,0.055,0.039,-0.945
12,0.066,0.008,-0.934
13,0.090,0.027,-0.961
14,0.035,0.012,-0.965
15,0.000,0.008,-0.941
16,0.031,0.023,-0.945
17,0.055,0.020,-0.930
18,0.082,0.023,-0.941
19,0.070,0.016,-0.969
20,0.012,0.016,-0.969
21,0.012,0.031,-0.953
22,0.016,0.012,-0.930
23,0.070,0.031,-0.934
24,0.059,0.031,-0.969
25,0.062,0.020,-0.949
26,0.062,0.020,-0.949
27,0.008,0.027,-0.961
28,0.027,0.027,-0.941
29,0.043,0.035,-0.930
30,0.074,0.000,-0.945
31,0.055,0.008,-0.961
32,0.055,0.023,-0.961
33,0.008,0.008,-0.973
34,0.008,0.027,-0.953
35,0.059,0.020,-0.934
36,0.070,-0.004,-0.938
37,0.070,0.031,-0.965
38,0.031,0.012,-0.961
39,0.008,0.016,-0.949
40,0.027,0.023,-0.938
41,0.059,0.008,-0.934
42,0.074,0.023,-0.945
43,0.070,0.023,-0.969
44,0.012,0.012,-0.965
45,0.020,0.047,-0.949
46,0.008,0.012,-0.934
47,0.078,0.043,-0.938
48,0.074,-0.008,-0.941
49,0.062,0.020,-0.957
50,0.062,0.020,-0.957
51,0.020,0.016,-0.973
52,0.008,0.035,-0.957
53,0.047,0.031,-0.934
54,0.074,0.008,-0.941
55,0.062,0.008,-0.945
56,0.051,0.020,-0.969
57,-0.004,0.008,-0.953
58,0.016,0.039,-0.941
59,0.016,0.039,-0.941
60,0.059,0.008,-0.938
61,0.066,-0.004,-0.938
62,0.074,0.031,-0.969
63,0.020,0.004,-0.969
64,0.008,0.035,-0.941
65,0.008,0.023,-0.941
66,0.062,0.008,-0.941
67,0.086,0.016,-0.934
68,0.059,0.004,-0.965
69,0.012,0.027,-0.973
70,0.016,0.035,-0.941
71,0.020,0.016,-0.938
72,0.086,0.023,-0.945
73,0.059,0.000,-0.941
74,0.043,0.039,-0.961
75,0.004,0.016,-0.980
76,0.012,0.000,-0.949
77,0.070,0.020,-0.934
78,0.062,-0.008,-0.953
79,0.070,0.027,-0.938
80,0.035,0.016,-0.977
81,0.004,0.020,-0.961
82,0.023,0.035,-0.945
83,0.051,0.012,-0.934
84,0.051,0.020,-0.953
85,0.059,0.031,-0.969
86,0.016,0.008,-0.969
87,0.008,0.035,-0.938
88,0.020,0.012,-0.949
89,0.055,0.020,-0.941
90,0.145,-0.023,-1.023
91,0.055,-0.117,-1.023
92,0.055,-0.117,-1.023
93,-0.488,-0.023,-0.926
94,-1.273,0.031,-0.871
95,-1.801,0.160,-0.758
96,-1.445,0.199,-1.008
97,-0.742,0.055,-1.180
98,-0.742,0.055,-1.180
99,-0.523,0.004,-0.938
100,-0.914,0.137,-0.773
101,-1.391,0.152,-0.641
102,-1.840,0.094,-0.461
103,-1.543,-0.027,-0.918
104,-0.652,-0.113,-1.441
105,-0.074,-0.203,-1.375
106,0.074,-0.148,-1.348
107,-0.180,0.047,-0.938
108,-0.754,0.066,-0.371
109,-1.031,0.016,-0.523
110,-0.500,0.074,-0.984
111,0.461,-0.016,-1.410
112,1.113,-0.184,-1.617
113,0.500,-0.039,-1.238
114,-0.484,0.242,-0.676
115,-1.078,0.398,-0.578
116,-0.906,0.047,-0.812
117,-0.324,-0.176,-1.117
118,0.234,-0.180,-1.184
119,0.262,-0.168,-1.184
120,-0.641,0.016,-0.754
121,-1.645,0.316,-0.352
122,-1.645,0.316,-0.352
123,-1.414,0.277,-0.438
124,-1.109,-0.043,-0.617
125,-0.637,-0.027,-1.078
126,0.348,0.043,-1.312
127,-0.504,0.051,-0.738
128,-1.457,0.250,-1.016
129,-1.305,0.184,-1.109
130,-1.070,0.004,-0.684
131,-0.715,-0.367,-1.422
132,-0.223,-0.270,-1.383
133,-0.414,0.238,-0.801
134,-0.586,0.062,-1.277
135,-0.688,-0.102,-0.855
136,-0.371,-0.039,-0.535
137,-0.125,0.023,-1.066
138,-0.168,0.023,-1.023
139,0.004,-0.090,-1.062
140,-0.188,0.066,-1.043
141,-0.691,0.227,-0.879
142,-0.672,0.016,-0.988
143,-0.418,0.055,-0.883
144,-0.387,-0.188,-0.773
145,-0.434,0.082,-0.863
146,-0.434,0.082,-0.863
147,-0.418,0.176,-1.113
148,-0.484,0.086,-0.926
149,-0.637,0.086,-0.770
150,-0.867,0.004,-0.941
151,-0.863,0.004,-0.695
152,-0.793,0.094,-0.789
153,-0.488,0.168,-1.090
154,-0.688,0.031,-0.855
155,-0.609,0.062,-0.945
