Sample,X,Y,Z
0,0.082,0.008,-0.660
1,0.027,0.012,-0.961
2,0.016,0.012,-0.938
3,0.035,0.031,-0.945
4,0.059,0.012,-0.930
5,0.059,0.008,-0.969
6,0.051,0.012,-0.969
7,0.012,0.004,-0.949
8,0.016,0.023,-0.949
9,0.051,0.020,-0.930
10,0.055,0.012,-0.957
11,0.086,0.023,-0.965
12,0.020,0.000,-0.957
13,0.020,0.027,-0.949
14,0.000,0.008,-0.934
15,0.055,0.016,-0.938
16,0.070,0.023,-0.965
17,0.066,0.008,-0.977
18,0.027,0.016,-0.969
19,0.008,0.023,-0.945
20,0.023,0.008,-0.938
21,0.059,0.027,-0.930
22,0.055,0.008,-0.965
23,0.066,0.012,-0.973
24,-0.004,0.023,-0.953
25,0.000,0.027,-0.957
26,0.043,0.035,-0.938
27,0.062,0.031,-0.938
28,0.102,0.012,-0.988
29,0.023,0.000,-0.953
30,0.004,0.012,-0.945
31,0.012,0.031,-0.949
32,0.055,0.004,-0.918
33,0.082,0.020,-0.961
34,0.062,0.004,-0.957
35,0.020,0.012,-0.957
36,0.023,0.031,-0.965
37,0.008,0.012,-0.926
38,0.070,0.035,-0.938
39,0.062,0.004,-0.965
40,0.062,0.008,-0.965
41,0.023,0.016,-0.961
42,0.016,0.012,-0.945
43,0.043,0.031,-0.938
44,0.082,0.004,-0.945
45,0.070,0.012,-0.957
46,0.051,0.027,-0.973
47,0.008,0.008,-0.961
48,0.008,0.039,-0.949
49,0.074,-0.016,-0.934
50,0.051,0.000,-0.941
51,0.098,0.035,-0.977
52,0.023,0.012,-0.957
53,-0.004,0.031,-0.941
54,0.016,0.023,-0.934
55,0.047,0.000,-0.922
56,0.066,0.023,-0.957
57,0.055,-0.004,-0.973
58,0.023,0.020,-0.961
59,0.023,0.016,-0.941
60,0.016,0.016,-0.930
61,0.074,0.027,-0.953
62,0.062,0.008,-0.969
63,0.047,0.012,-0.973
64,0.016,0.012,-0.961
65,0.004,0.012,-0.945
66,0.047,0.020,-0.930
67,0.070,0.008,-0.941
68,0.078,0.023,-0.977
69,0.035,0.023,-0.965
70,0.004,0.016,-0.957
71,0.008,0.031,-0.949
72,0.035,0.008,-0.918
73,0.094,0.027,-0.953
74,0.059,0.047,-0.965
75,0.016,0.008,-0.973
76,0.027,0.016,-0.949
77,0.023,-0.012,-0.934
78,0.059,0.020,-0.938
79,0.078,0.012,-0.953
80,0.047,0.016,-0.969
81,0.016,0.020,-0.965
82,0.008,0.016,-0.930
83,0.035,0.023,-0.938
84,0.082,0.016,-0.953
85,0.062,0.000,-0.969
86,0.039,0.020,-0.965
87,0.004,0.016,-0.961
88,0.016,0.016,-0.945
89,0.055,0.008,-0.922
90,0.047,0.105,-0.965
91,0.086,0.328,-1.164
92,0.031,0.375,-1.227
93,0.031,0.281,-1.113
94,0.066,0.199,-0.977
95,0.094,0.250,-0.906
96,0.145,0.414,-0.973
97,0.176,0.543,-1.082
98,0.016,0.641,-1.117
99,-0.031,0.547,-0.910
100,-0.016,0.480,-0.812
101,0.035,0.551,-0.859
102,0.035,0.613,-0.859
103,0.043,0.633,-0.883
104,-0.102,0.734,-0.824
105,-0.098,0.812,-0.820
106,0.055,0.836,-0.875
107,0.156,0.793,-0.930
108,0.203,0.785,-1.008
109,0.211,0.695,-0.902
110,0.043,0.535,-0.676
111,0.027,0.484,-0.637
112,0.047,0.441,-0.645
113,0.012,0.609,-0.773
114,0.031,0.805,-1.215
115,0.000,0.664,-1.219
116,-0.129,0.344,-0.910
117,-0.254,0.066,-0.699
118,-0.211,0.348,-0.652
119,0.051,0.797,-1.254
120,0.305,0.871,-1.621
121,0.395,0.664,-1.414
122,0.301,0.504,-1.227
123,0.035,0.551,-0.980
124,-0.070,0.578,-0.941
125,-0.148,0.543,-0.984
126,-0.133,0.891,-1.141
127,0.098,0.906,-1.312
128,0.270,0.703,-0.914
129,0.309,0.836,-0.773
130,0.086,0.598,-0.824
131,-0.457,0.418,-0.172
132,-0.418,0.945,-0.477
133,0.031,0.941,-1.344
134,0.461,0.875,-0.844
135,0.758,0.539,-0.930
136,0.188,0.520,-0.730
137,-0.551,0.629,-0.109
138,-0.500,0.801,-0.582
139,-0.031,0.887,-1.258
140,0.383,0.453,-1.215
141,0.512,0.449,-1.090
142,-0.086,0.621,-1.227
143,-0.355,0.598,-0.887
144,-0.234,0.672,-0.871
145,0.020,0.555,-1.262
146,0.367,0.605,-1.094
147,0.543,0.590,-1.312
148,0.172,0.570,-1.285
149,-0.148,0.629,-0.875
150,-0.211,0.570,-0.891
151,-0.180,0.688,-0.922
152,0.016,0.441,-0.844
153,0.289,0.492,-0.828
154,0.125,0.645,-1.039
155,-0.125,0.742,-1.008
156,-0.141,0.832,-0.984
157,0.227,0.656,-0.969
158,0.062,0.578,-0.770
159,0.004,0.766,-0.945
160,0.223,0.945,-0.988
161,0.141,0.711,-0.828
162,-0.066,0.648,-0.895
163,0.043,0.750,-0.973
164,-0.027,0.641,-0.734
165,-0.398,0.734,-0.879
166,-0.195,0.703,-1.328
167,0.238,0.707,-0.855
168,0.258,0.520,-0.852
169,0.418,0.375,-1.055
170,0.418,0.375,-1.055
171,0.387,0.609,-0.656
172,-0.156,0.699,-0.801
173,-0.488,0.680,-1.055
174,-0.004,0.711,-0.945
175,0.301,0.477,-1.113
176,0.168,0.129,-1.039
177,0.168,0.465,-0.680
178,-0.199,0.371,-0.883
179,-0.551,0.770,-0.906
180,-0.098,0.582,-1.133
181,0.293,0.668,-1.258
182,0.523,0.582,-1.457
183,0.457,0.398,-1.043
184,0.152,0.648,-0.719
185,-0.188,0.410,-0.934
186,-0.406,0.945,-0.457
187,-0.016,1.234,-1.270
188,0.453,0.262,-1.461
189,0.363,0.590,-0.434
190,0.297,0.602,-1.391
191,-0.258,0.215,-0.695
192,-0.613,1.023,0.113
193,-0.094,0.609,-1.551
