Sample,X,Y,Z
0,0.039,0.051,-0.582
1,0.004,0.012,-0.938
2,0.004,0.012,-0.938
3,0.098,0.023,-0.938
4,0.098,-0.008,-0.961
5,0.047,0.012,-0.961
6,-0.008,0.035,-0.965
7,-0.020,0.035,-0.934
8,0.047,0.031,-0.941
9,0.113,-0.012,-0.949
10,0.098,-0.004,-0.961
11,0.035,0.023,-0.965
12,-0.027,0.027,-0.945
13,-0.004,0.039,-0.938
14,0.078,0.020,-0.953
15,0.094,-0.016,-0.957
16,0.078,0.016,-0.961
17,0.004,0.023,-0.977
18,-0.023,0.051,-0.938
19,0.016,0.020,-0.938
20,0.074,0.000,-0.941
21,0.086,0.020,-0.961
22,0.039,0.020,-0.969
23,-0.012,0.027,-0.973
24,0.016,0.016,-0.941
25,0.027,0.031,-0.930
26,0.027,0.031,-0.930
27,0.086,0.004,-0.938
28,0.035,0.027,-0.957
29,0.051,0.027,-0.957
30,0.020,0.012,-0.949
31,0.023,0.023,-0.945
32,0.035,0.035,-0.938
33,0.039,0.012,-0.926
34,0.066,0.023,-0.973
35,0.043,0.004,-0.965
36,0.012,0.020,-0.945
37,0.020,0.023,-0.965
38,0.055,0.020,-0.930
39,0.066,0.008,-0.922
40,0.051,0.016,-0.977
41,0.020,0.012,-0.969
42,0.016,0.035,-0.941
43,0.035,0.004,-0.965
44,0.074,0.008,-0.922
45,0.039,0.000,-0.934
46,0.035,0.020,-0.980
47,0.012,0.023,-0.965
48,0.035,0.016,-0.945
49,0.043,0.035,-0.953
50,0.051,0.012,-0.930
51,0.051,0.016,-0.957
52,0.031,0.039,-0.984
53,0.027,0.008,-0.961
54,0.016,0.008,-0.945
55,0.035,0.027,-0.941
56,0.047,0.016,-0.949
57,0.062,0.023,-0.961
58,0.023,0.012,-0.973
59,0.016,0.020,-0.938
60,0.016,0.012,-0.945
61,0.059,0.023,-0.949
62,0.062,0.020,-0.934
63,0.047,0.000,-0.957
64,0.012,0.031,-0.980
65,0.012,0.027,-0.957
66,0.047,0.020,-0.945
67,0.062,0.023,-0.918
68,0.039,0.008,-0.953
69,0.039,0.027,-0.973
70,0.004,0.012,-0.957
71,0.031,0.023,-0.961
72,0.039,0.020,-0.938
73,0.047,-0.020,-0.926
74,0.055,0.012,-0.973
75,0.020,0.012,-0.965
76,-0.004,0.027,-0.949
77,0.039,0.031,-0.949
78,0.059,0.020,-0.949
79,0.070,0.023,-0.938
80,0.043,0.023,-0.965
81,0.012,0.031,-0.973
82,0.008,0.023,-0.949
83,0.031,0.016,-0.941
84,0.074,0.012,-0.930
85,0.051,0.008,-0.953
86,0.055,0.023,-0.961
87,0.000,0.020,-0.969
88,-0.008,0.016,-0.949
89,0.055,0.027,-0.969
90,0.160,-0.070,-1.020
91,-0.070,-0.113,-0.980
92,-0.762,0.027,-0.918
93,-1.621,0.059,-0.836
94,-1.855,0.184,-0.773
95,-1.172,0.160,-1.105
96,-0.535,0.023,-1.152
97,-0.535,0.004,-0.855
98,-1.066,0.121,-0.727
99,-1.613,0.109,-0.523
100,-1.879,0.039,-0.539
101,-1.258,-0.047,-1.168
102,-0.363,-0.117,-1.500
103,0.117,-0.246,-1.379
104,0.012,-0.055,-1.273
105,-0.383,0.094,-0.727
106,-0.980,0.043,-0.309
107,-0.934,0.066,-0.629
108,-0.082,0.078,-1.195
109,0.891,-0.102,-1.535
110,0.938,-0.207,-1.492
111,0.086,0.090,-0.969
112,-0.848,0.410,-0.527
113,-0.953,0.242,-0.656
