Sample,X,Y,Z
0,0.090,0.027,-0.578
1,0.059,0.016,-0.977
2,0.016,0.004,-0.961
3,0.012,0.023,-0.949
4,0.016,0.012,-0.945
5,0.062,0.023,-0.926
6,0.090,0.004,-0.957
7,0.059,0.004,-0.969
8,0.008,0.039,-0.973
9,-0.008,0.020,-0.949
10,0.031,0.027,-0.934
11,0.070,0.008,-0.934
12,0.062,0.004,-0.961
13,0.047,0.031,-0.973
14,0.012,0.008,-0.961
15,0.016,0.027,-0.941
16,0.059,0.027,-0.934
17,0.066,0.000,-0.949
18,0.070,0.016,-0.969
19,0.023,0.008,-0.961
20,0.012,0.031,-0.953
21,0.023,0.023,-0.949
22,0.059,0.000,-0.941
23,0.082,0.016,-0.957
24,0.059,0.004,-0.977
25,0.016,0.039,-0.965
26,0.008,0.047,-0.953
27,0.020,0.012,-0.941
28,0.062,0.000,-0.945
29,0.047,-0.016,-0.957
30,0.047,0.035,-0.969
31,0.008,0.016,-0.969
32,0.004,0.012,-0.953
33,0.059,0.023,-0.922
34,0.059,0.008,-0.938
35,0.059,0.008,-0.938
36,0.066,0.016,-0.961
37,0.020,0.004,-0.953
38,0.027,0.020,-0.953
39,0.027,0.020,-0.941
40,0.047,0.008,-0.926
41,0.090,0.027,-0.961
42,0.066,0.008,-0.973
43,0.016,0.020,-0.957
44,0.016,0.020,-0.957
45,0.008,0.023,-0.949
46,0.008,0.020,-0.938
47,0.086,0.020,-0.941
48,0.066,-0.008,-0.957
49,0.059,0.008,-0.973
50,0.012,0.070,-0.961
51,0.008,0.020,-0.934
52,0.043,0.016,-0.934
53,0.070,-0.031,-0.941
54,0.059,0.035,-0.953
55,0.031,0.020,-0.984
56,-0.004,0.008,-0.953
57,0.012,0.027,-0.926
58,0.055,0.012,-0.938
59,0.086,0.027,-0.945
60,0.062,0.016,-0.965
61,0.008,0.008,-0.961
62,0.016,0.027,-0.953
63,0.020,0.004,-0.934
64,0.066,0.023,-0.945
65,0.066,0.016,-0.953
66,0.066,0.000,-0.965
67,0.020,0.023,-0.969
68,0.000,0.008,-0.938
69,0.047,0.027,-0.922
70,0.074,0.000,-0.941
71,0.059,0.000,-0.969
72,0.023,0.051,-0.977
73,-0.004,0.000,-0.957
74,0.027,0.039,-0.945
75,0.051,0.016,-0.930
76,0.074,0.000,-0.965
77,0.094,0.023,-0.973
78,0.004,0.016,-0.957
79,0.004,0.023,-0.949
80,0.012,0.012,-0.938
81,0.066,0.016,-0.941
82,0.074,0.020,-0.957
83,0.051,-0.012,-0.961
84,0.012,0.023,-0.965
85,0.000,0.020,-0.941
86,0.035,0.023,-0.930
87,0.066,0.016,-0.941
88,0.055,0.012,-0.945
89,0.035,0.031,-0.977
90,0.004,0.004,-0.961
91,0.008,0.020,-0.938
92,0.039,0.043,-0.934
93,0.074,0.184,-1.020
94,0.094,0.309,-1.207
95,0.000,0.293,-1.152
96,0.031,0.168,-1.016
97,0.055,0.133,-0.898
98,0.082,0.281,-0.914
99,0.188,0.453,-1.043
100,0.164,0.508,-1.121
101,0.000,0.469,-1.055
102,-0.051,0.398,-0.863
103,-0.043,0.406,-0.820
104,-0.012,0.512,-0.871
105,0.094,0.539,-0.934
106,0.074,0.562,-0.902
107,-0.066,0.566,-0.828
