Sample,X,Y,Z
0,0.051,0.031,-0.582
1,0.039,0.008,-0.961
2,0.031,0.012,-0.953
3,0.016,0.008,-0.953
4,0.023,0.012,-0.945
5,0.031,0.016,-0.949
6,0.047,0.012,-0.969
7,0.043,0.008,-0.945
8,0.027,0.016,-0.949
9,0.020,0.004,-0.953
10,0.016,0.004,-0.938
11,0.031,0.012,-0.957
12,0.043,0.008,-0.949
13,0.020,0.023,-0.945
14,0.020,0.023,-0.961
15,0.023,0.016,-0.945
16,0.027,0.008,-0.957
17,0.043,0.008,-0.973
18,0.027,0.004,-0.934
19,0.016,0.027,-0.969
20,0.020,0.020,-0.941
21,0.035,0.008,-0.930
22,0.047,0.012,-0.969
23,0.039,0.000,-0.945
24,0.008,0.016,-0.945
25,0.020,0.023,-0.961
26,0.020,0.016,-0.945
27,0.043,0.020,-0.953
28,0.035,0.031,-0.961
29,0.020,0.004,-0.941
30,0.031,0.020,-0.965
31,0.027,0.008,-0.949
32,0.031,0.012,-0.938
33,0.039,0.008,-0.961
34,0.035,0.004,-0.945
35,0.023,0.020,-0.949
36,0.020,0.020,-0.969
37,0.027,0.012,-0.938
38,0.023,0.004,-0.957
39,0.031,0.023,-0.969
40,0.035,-0.008,-0.934
41,0.023,0.012,-0.945
42,0.012,0.020,-0.969
43,0.035,0.012,-0.949
44,0.039,0.008,-0.953
45,0.031,0.008,-0.969
46,0.023,0.000,-0.934
47,0.023,0.020,-0.949
48,0.016,0.035,-0.969
49,0.035,0.012,-0.938
50,0.023,0.051,-0.949
51,0.020,0.012,-0.957
52,0.020,0.008,-0.949
53,0.016,0.000,-0.973
54,0.020,0.016,-0.961
55,0.031,0.008,-0.953
56,0.031,0.012,-0.957
57,0.031,-0.004,-0.949
58,0.031,0.008,-0.945
59,0.027,0.004,-0.953
60,0.031,0.012,-0.953
61,0.027,0.012,-0.949
62,0.023,0.008,-0.949
63,0.031,0.020,-0.961
64,0.020,0.016,-0.945
65,0.027,0.012,-0.953
66,0.035,0.008,-0.957
67,0.020,0.012,-0.949
68,0.027,0.008,-0.961
69,0.027,0.020,-0.957
70,0.023,0.004,-0.945
71,0.023,0.008,-0.953
72,0.012,0.004,-0.953
73,0.039,0.031,-0.949
74,0.039,0.043,-0.961
75,0.020,0.012,-0.961
76,0.039,0.051,-0.957
77,0.008,0.012,-0.957
78,0.016,0.008,-0.949
79,0.039,0.000,-0.957
80,0.035,0.016,-0.957
81,0.020,0.020,-0.949
82,0.027,0.020,-0.953
83,0.016,0.016,-0.949
84,0.031,0.008,-0.953
85,0.039,0.008,-0.953
86,0.023,0.012,-0.957
87,0.016,0.020,-0.953
88,0.023,0.023,-0.953
89,0.016,0.008,-0.957
90,0.035,0.000,-0.945
91,0.035,0.004,-0.949
92,0.020,0.117,-0.977
93,0.039,0.262,-1.133
94,0.008,0.242,-1.133
95,-0.035,0.164,-1.008
96,0.031,0.164,-0.973
97,0.098,0.219,-0.934
98,0.148,0.512,-1.102
99,0.180,0.699,-1.266
100,0.043,0.754,-1.160
101,-0.027,0.719,-1.078
102,-0.004,0.703,-1.020
103,0.031,0.660,-0.891
104,0.121,0.703,-0.887
105,0.031,0.730,-0.820
106,-0.102,0.762,-0.645
107,-0.094,0.758,-0.641
108,-0.031,0.641,-0.652
109,0.039,0.492,-0.582
110,0.094,0.594,-0.676
111,0.047,0.824,-0.887
112,-0.020,0.941,-0.961
113,0.035,0.789,-0.941
114,0.059,0.488,-0.824
115,0.020,0.281,-0.648
116,0.016,0.488,-0.824
117,0.074,0.941,-1.309
118,0.098,0.992,-1.523
119,0.035,0.621,-1.312
120,-0.145,0.219,-0.914
121,-0.195,0.320,-0.750
122,0.012,0.695,-1.176
123,0.227,0.793,-1.457
124,0.309,0.531,-1.148
125,0.250,0.555,-1.039
126,-0.055,0.633,-0.996
127,-0.266,0.398,-0.629
128,-0.176,0.602,-0.754
129,0.020,0.699,-1.141
130,0.172,0.562,-0.934
131,0.359,0.824,-0.961
132,0.090,0.934,-1.102
133,-0.465,0.480,-0.430
134,-0.336,0.609,-0.457
135,0.164,0.707,-1.188
136,0.582,0.723,-0.945
137,0.766,0.820,-1.234
138,0.020,0.836,-1.043
139,-0.801,0.824,-0.262
140,-0.508,0.781,-0.754
141,0.082,0.652,-1.121
142,0.461,0.391,-1.035
143,0.426,0.621,-1.070
144,-0.184,0.906,-0.941
145,-0.402,0.844,-0.754
146,-0.168,0.523,-0.820
147,0.117,0.672,-1.055
148,0.328,0.543,-1.168
149,0.352,0.223,-0.852
150,0.090,0.641,-0.918
151,-0.020,0.898,-1.207
152,-0.117,0.645,-0.867
